feature,importance_mean,importance_std
favorites,0.17561266598809555,0.007241095851125182
genres,0.09214425621562537,0.004312152920936881
popularity,0.08499673388055018,0.002420297699562741
favorites_per_member,0.058689624853966976,0.002599701449037996
scored_by_per_member,0.04595116231907183,0.00630507319744235
studios,0.04080734884213992,0.003551484425381279
episodes,0.02052738291621796,0.0010793416357127571
members,0.018976791151401037,0.001620740323295623
type,0.01897573493704606,0.0018549953286702851
overview,0.015932326371837724,0.0017318732391294665
source,0.013232467908641715,0.001731574461300905
members_per_episode,0.011881615158899725,0.0013622413848048214
anime_rating,0.008031907807191152,0.0007616438779147424
licensors,0.007832869158488714,0.00046868951432485213
producers,0.00752915502208297,0.0004716294109653797
favorites_per_episode,0.007434571284843122,0.0008401544730860232
log_favorites,0.007297803992384208,0.0009276237242189666
scored_by,0.004270345972063147,0.0005802144177283826
genre_count,0.002025378720513865,0.0005124022186472647
log_episodes,0.0010295755639766063,0.00026047879451589765
overview_char_len,0.0005036792460562239,0.00036398867773936684
log_members,0.0004458695848071764,0.0002733454384305072
overview_word_len,0.00039645671017665696,0.00020878222653807098
log_scored_by,0.00030763867859914806,0.00017320743823570454
log_popularity,4.478476802836917e-05,3.408773857012222e-05
studio_count,4.22623559120372e-05,0.00010562872896795464
episodes_missing,0.0,0.0
is_long_series,0.0,0.0
has_licensor,0.0,0.0
licensor_count,-3.630231411866358e-07,7.515338356473026e-06
producer_count,-6.542425116375095e-05,4.822011395264095e-05
